"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-01","2024","01","01","","-5.5","","-8.7","","-7.1","","25.1","","0.0","","","","","","0.0","","2","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-02","2024","01","02","","-1.7","","-7.8","","-4.8","","22.8","","0.0","","","","","","0.0","","1","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-03","2024","01","03","","0.4","","-1.7","","-0.7","","18.7","","0.0","","","","","","0.0","","1","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-04","2024","01","04","","0.3","","-14.4","","-7.0","","25.0","","0.0","","","","","","4.0","","8","","28","","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-05","2024","01","05","","-9.5","","-17.2","","-13.4","","31.4","","0.0","","","","","","0.3","","7","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-06","2024","01","06","","-9.2","","-24.5","","-16.8","","34.8","","0.0","","","","","","0.0","","7","","9","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-07","2024","01","07","","-6.9","","-10.2","","-8.5","","26.5","","0.0","","","","","","1.3","","7","","7","","46",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-08","2024","01","08","","-3.9","","-14.5","","-9.2","","27.2","","0.0","","","","","","0.1","","8","","28","","37",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-09","2024","01","09","","-5.5","","-19.7","","-12.6","","30.6","","0.0","","","","","","10.3","","8","","5","","54",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-10","2024","01","10","","1.3","","-5.5","","-2.1","","20.1","","0.0","","","","","","25.7","","24","","8","","61",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-11","2024","01","11","","0.7","","-9.8","","-4.5","","22.5","","0.0","","","","","","0.4","","32","","28","","46",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-12","2024","01","12","","-7.8","","-17.8","","-12.8","","30.8","","0.0","","","","","","0.0","","31","","6","","32",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-13","2024","01","13","","-3.7","","-9.0","","-6.4","","24.4","","0.0","","","","","","11.1","","37","","6","","71",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-14","2024","01","14","","-0.4","","-12.5","","-6.4","","24.4","","0.0","","","","","","0.4","","32","","24","","55",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-15","2024","01","15","","-5.5","","-19.6","","-12.6","","30.6","","0.0","","","","","","0.0","","31","","24","","37",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2024-01-16","2024","01","16","","-6.8","","-18.3","","-12.6","","30.6","","0.0","","","","","","3.3","","31","","","","",""
